task	n_2019
classification	5712
segmentation	4886
detection	2816
computer vision	2725
image processing	1786
object detection	1656
recognition	1553
feature extraction	1467
image segmentation	1423
image classification	1378
face recognition	1096
semantic segmentation	983
tracking	938
diagnosis	796
identification	583
remote sensing	582
artificial intelligence	547
object recognition	514
autonomous driving	493
prediction	487
machine learning	486
image recognition	478
registration	474
data augmentation	466
person re-identification	465
reconstruction	460
image analysis	442
training	440
pattern recognition	439
retrieval	433
action recognition	431
image retrieval	427
learning	417
optimization	405
sr	405
medical imaging	397
localization	393
face detection	393
analysis	389
denoising	388
generalization	386
computer vision tasks	381
pose estimation	366
clustering	365
facial expression recognition	362
machine vision	343
matching	341
inference	339
image denoising	339
object tracking	330
breast cancer	330
edge detection	324
image enhancement	321
training process	316
hyperspectral image classification	314
video surveillance	306
autonomous vehicles	296
image registration	296
change detection	295
visual tracking	289
medical image analysis	284
preprocessing	278
diabetic retinopathy	275
fusion	274
deep learning	274
3d reconstruction	270
sar	269
super-resolution	268
target detection	264
image fusion	263
pedestrian detection	261
computer vision applications	260
image acquisition	253
robotics	250
real-world applications	248
classification task	248
image reconstruction	248
processing	243
remote sensing images	234
security	227
human action recognition	226
image restoration	225
re-id	222
medical image segmentation	221
optimization problem	214
ai	212
computer-aided diagnosis	209
image captioning	206
surveillance	206
agriculture	206
treatment	204
classification tasks	199
image preprocessing	197
saliency detection	196
pre-processing	196
image super-resolution	193
manual segmentation	193
validation	193
dr	192
depth estimation	191
